iter	Passed	Remaining
746	51202	17341
747	51259	17269
748	51320	17198
749	51382	17127
750	51442	17056
751	51500	16984
752	51595	16924
753	51670	16858
754	51813	16813
755	51885	16746
756	51957	16678
757	52043	16615
758	52134	16553
759	52221	16490
760	52300	16425
761	52385	16361
762	52467	16297
763	52549	16232
764	52630	16167
765	52823	16136
766	52946	16084
767	53044	16023
768	53127	15959
769	53197	15890
770	53272	15822
771	53342	15754
772	53416	15686
773	53488	15617
774	53569	15552
775	53667	15491
776	53744	15424
777	53829	15360
778	53916	15295
779	54011	15233
780	54109	15172
781	54196	15108
782	54291	15046
783	54380	14982
784	54459	14915
785	54549	14851
786	54645	14789
787	54741	14727
788	54839	14665
789	54929	14601
790	55008	14534
791	55094	14469
792	55192	14407
793	55273	14340
794	55361	14275
795	55446	14210
796	55524	14142
797	55623	14080
798	55707	14013
799	55781	13945
800	55852	13876
801	55921	13806
802	55989	13736
803	56063	13667
804	56136	13598
805	56208	13529
806	56278	13459
807	56344	13388
808	56416	13319
809	56483	13249
810	56553	13179
811	56632	13111
812	56706	13043
813	56776	12973
814	56850	12904
815	56922	12835
816	56992	12765
817	57072	12698
818	57143	12628
819	57211	12558
820	57284	12489
821	57356	12420
822	57429	12351
823	57493	12280
824	57562	12210
825	57637	12141
826	57709	12072
827	57780	12002
828	57850	11932
829	57917	11862
830	57984	11792
831	58054	11722
832	58128	11653
833	58197	11583
834	58275	11515
835	58344	11445
836	58413	11375
837	58482	11305
838	58560	11237
839	58640	11169
840	58721	11101
841	58795	11032
842	58868	10963
843	58938	10893
844	59006	10823
845	59087	10755
846	59154	10685
847	59228	10616
848	59319	10550
849	59391	10480
850	59458	10410
851	59535	10341
852	59602	10271
853	59672	10201
854	59739	10131
855	59809	10061
856	59879	9991
857	59956	9922
858	60022	9852
859	60088	9781
860	60155	9711
861	60212	9639
862	60277	9568
863	60460	9516
864	60559	9451
865	60627	9381
866	60694	9310
867	60760	9240
868	60833	9170
869	60896	9099
870	60964	9029
871	61034	8959
872	61104	8889
873	61170	8818
874	61240	8748
875	61311	8678
876	61385	8609
877	61455	8539
878	61525	8469
879	61606	8400
880	61671	8330
881	61743	8260
882	61808	8189
883	61878	8119
884	61947	8049
885	62016	7979
886	62086	7909
887	62157	7839
888	62226	7769
889	62297	7699
890	62368	7629
891	62440	7560
892	62510	7490
893	62583	7420
894	62654	7350
895	62728	7280
896	62798	7210
897	62870	7141
898	62948	7072
899	63020	7002
900	63089	6932
901	63158	6862
902	63231	6792
903	63301	6722
904	63369	6652
905	63433	6581
906	63495	6510
907	63551	6439
908	63606	6367
909	63660	6296
910	63717	6224
911	63771	6153
912	63831	6082
913	63888	6011
914	63948	5940
915	64007	5869
916	64064	5798
917	64118	5727
918	64177	5656
919	64232	5585
920	64290	5514
921	64353	5444
922	64428	5374
923	64498	5305
924	64564	5234
925	64632	5164
926	64700	5095
927	64769	5025
928	64840	4955
929	64913	4885
930	64983	4816
931	65038	4745
932	65102	4675
933	65166	4604
934	65222	4534
935	65279	4463
936	65345	4393
937	65404	4323
938	65466	4252
939	65539	4183
940	65604	4113
941	65660	4042
942	65722	3972
943	65789	3902
944	65844	3832
945	65898	3761
946	65958	3691
947	66007	3620
948	66065	3550
949	66120	3480
950	66185	3410
951	66240	3339
952	66297	3269
953	66360	3199
954	66423	3129
955	66479	3059
956	66542	2989
957	66598	2919
958	66662	2849
959	66725	2780
960	66781	2710
961	66838	2640
962	66902	2570
963	66959	2500
964	67014	2430
965	67078	2360
966	67145	2291
967	67210	2221
968	67267	2151
969	67322	2082
970	67384	2012
971	67443	1942
972	67501	1873
973	67567	1803
974	67626	1734
975	67688	1664
976	67759	1595
977	67826	1525
978	67897	1456
979	67956	1386
980	68020	1317
981	68084	1247
982	68142	1178
983	68212	1109
984	68274	1039
985	68345	970
986	68407	901
987	68469	831
988	68538	762
989	68610	693
990	68675	623
991	68735	554
992	68797	484
993	68878	415
994	68960	346
995	69022	277
996	69095	207
997	69156	138
998	69223	69
999	69283	0
